i_step,time,i_sub_step,number_of_samples,ATP_concentration
0,0.006849999999999999,0,685,0
1,0.02055,0,685,0
2,0.03424,0,684,0
3,0.04793,0,685,0
4,0.06163,0,685,0
5,0.07532999999999999,0,685,0
6,0.08902,0,684,0
7,0.10271,0,685,0
8,0.11641,0,685,0
9,0.13011,0,685,0
10,0.14381,0,685,0
11,0.1575,0,684,0
12,0.17119,0,685,0
13,0.18489,0,685,0
14,0.19859,0,685,0
15,0.21228,0,684,0
16,0.22597,0,685,0
17,0.23967,0,685,0
18,0.25337,0,685,0
19,0.26707,0,685,0
20,0.28076,0,684,0
21,0.29445,0,685,0
22,0.30815,0,685,0
23,0.32185,0,685,0
24,0.33555,0,685,0
25,0.34924,0,684,0
26,0.36293,0,685,0
27,0.37663,0,685,0
28,0.39033,0,685,0
29,0.40402,0,684,0
30,0.41771,0,685,0
31,0.43141,0,685,0
32,0.44511,0,685,0
33,0.45881,0,685,0
34,0.4725,0,684,0
35,0.48619,0,685,0
36,0.49989,0,685,0
37,0.51359,0,685,0
38,0.52728,0,684,0
39,0.5409700000000011,0,685,0
40,0.554670000000001,0,685,0
41,0.568370000000001,0,685,0
42,0.582070000000001,0,685,0
43,0.5957600000000011,0,684,0
44,0.6094500000000009,0,685,0
45,0.623150000000001,0,685,0
46,0.636850000000001,0,685,0
47,0.650540000000001,0,684,0
48,0.664230000000001,0,685,0
49,0.6779300000000009,0,685,0
50,0.691630000000001,0,685,0
51,0.7053300000000009,0,685,0
52,0.719020000000001,0,684,0
53,0.732710000000001,0,685,0
54,0.746410000000001,0,685,0
55,0.7601100000000011,0,685,0
56,0.773810000000001,0,685,0
57,0.787500000000001,0,684,0
58,0.801190000000001,0,685,0
59,0.814890000000002,0,685,0
60,0.8285900000000019,0,685,0
61,0.842280000000002,0,684,0
62,0.855970000000002,0,685,0
63,0.8696700000000021,0,685,0
64,0.8833700000000021,0,685,0
65,0.897070000000002,0,685,0
66,0.910760000000002,0,684,0
67,0.924450000000002,0,685,0
68,0.938150000000002,0,685,0
69,0.951850000000002,0,685,0
70,0.9655400000000021,0,684,0
71,0.9792300000000019,0,685,0
72,0.992930000000002,0,685,0
73,0.999790000000002,0,1,0
74,0.999810000000002,0,1,0
75,0.999830000000002,0,1,0
76,0.9998500000000019,0,1,0
77,0.999870000000002,0,1,0
